id,name,price,category_id,description,available,grille_id
1,The Standard,3,1,American cheese on your choice of bread,1,1
2,The Double Standard,5,1,Two standards,1,1
3,The Sue Meltman,3.5,1,American and swiss on marbled rye bread,1,1
4,The Doug Meltin',3.5,1,Yellow and extra-sharp cheddar cheese on your choice of bread,1,1
5,The Dean Evelyn Hammelt,4.75,1,American and jack cheese with bacon on your choice of bread,1,1
6,The CheeseBanger,4.75,1,Fontina and bacon on white bread,1,1
7,Hamburger,4.75,2,,1,1
8,Cheeseburger,5.25,2,,1,1
9,Domus Domus,6,2,"Double patties, double cheese",1,1
10,Shoestring Fries,3.75,3,,1,1
11,Old Bay Fries,4,3,,1,1
12,Onion Rings,4,3,,1,1
13,Mozzarella Sticks,4,3,,1,1
14,Sweet Potato Fries,4,3,,1,1
15,Popcorn chicken,4.5,3,,1,1
16,Root Beer,2,4,,1,1
17,Diet Root Beer,2,4,,1,1
18,Root Beer Float,3.75,4,,1,1
19,Ice Cream (2 scoops),2,4,,1,1
20,Vanilla Shake,3.5,4,,1,1
21,Oreo Shake,4,4,,1,1
22,Mint Chocolate Chip Shake,4,4,,1,1
